id,tipo,materia,nivel,pergunta,alternativas,resposta_correta,indice_resposta_correta,explicacao,resposta_esperada
MC-001,multipla_escolha,HTML,iniciante,Qual tag representa o conteúdo principal de uma página?,<main> | <footer> | <aside> | <nav>,<main>,0,A tag <main> indica o conteúdo principal do documento.,
MC-002,multipla_escolha,HTML,iniciante,Qual atributo cria um link em uma tag <a>?,src | href | alt | title,href,1,O atributo href define o destino do link.,
MC-003,multipla_escolha,HTML,iniciante,Qual tag é usada para inserir uma imagem?,<img> | <picture-text> | <image> | <src>,<img>,0,A tag <img> insere imagens em uma página HTML.,
MC-004,multipla_escolha,HTML,iniciante,Qual tag cria uma lista não ordenada?,<ol> | <ul> | <li> | <dl>,<ul>,1,A tag <ul> cria uma lista sem ordem numérica.,
MC-005,multipla_escolha,HTML,iniciante,Qual tag cria um campo de formulário?,<input> | <form-field> | <label> | <button>,<input>,0,"A tag <input> cria campos como texto, senha, checkbox etc.",
MC-006,multipla_escolha,HTML,iniciante,Para que serve o atributo alt em imagens?,Definir largura | Descrever a imagem | Criar link | Mudar cor,Descrever a imagem,1,O alt melhora acessibilidade e aparece se a imagem não carregar.,
MC-007,multipla_escolha,HTML,iniciante,Qual elemento contém metadados da página?,<head> | <body> | <main> | <section>,<head>,0,"O <head> contém título, links CSS e metadados.",
MC-008,multipla_escolha,HTML,iniciante,Qual tag representa uma seção independente de conteúdo?,<article> | <span> | <br> | <meta>,<article>,0,O <article> representa conteúdo independente.,
MC-009,multipla_escolha,HTML,iniciante,Qual tag é usada para título principal?,<h1> | <title> | <p> | <strong>,<h1>,0,O <h1> representa o título principal do conteúdo.,
MC-010,multipla_escolha,HTML,iniciante,Qual tag cria uma quebra de linha?,<br> | <hr> | <p> | <line>,<br>,0,A tag <br> cria quebra de linha.,
MC-011,multipla_escolha,HTML,básico,Qual tag representa o conteúdo principal de uma página? (variação 2),<main> | <footer> | <aside> | <nav>,<main>,0,A tag <main> indica o conteúdo principal do documento.,
MC-012,multipla_escolha,HTML,básico,Qual atributo cria um link em uma tag <a>? (variação 2),src | href | alt | title,href,1,O atributo href define o destino do link.,
MC-013,multipla_escolha,HTML,básico,Qual tag é usada para inserir uma imagem? (variação 2),<img> | <picture-text> | <image> | <src>,<img>,0,A tag <img> insere imagens em uma página HTML.,
MC-014,multipla_escolha,HTML,básico,Qual tag cria uma lista não ordenada? (variação 2),<ol> | <ul> | <li> | <dl>,<ul>,1,A tag <ul> cria uma lista sem ordem numérica.,
MC-015,multipla_escolha,HTML,básico,Qual tag cria um campo de formulário? (variação 2),<input> | <form-field> | <label> | <button>,<input>,0,"A tag <input> cria campos como texto, senha, checkbox etc.",
MC-016,multipla_escolha,HTML,básico,Para que serve o atributo alt em imagens? (variação 2),Definir largura | Descrever a imagem | Criar link | Mudar cor,Descrever a imagem,1,O alt melhora acessibilidade e aparece se a imagem não carregar.,
MC-017,multipla_escolha,HTML,básico,Qual elemento contém metadados da página? (variação 2),<head> | <body> | <main> | <section>,<head>,0,"O <head> contém título, links CSS e metadados.",
MC-018,multipla_escolha,HTML,básico,Qual tag representa uma seção independente de conteúdo? (variação 2),<article> | <span> | <br> | <meta>,<article>,0,O <article> representa conteúdo independente.,
MC-019,multipla_escolha,HTML,básico,Qual tag é usada para título principal? (variação 2),<h1> | <title> | <p> | <strong>,<h1>,0,O <h1> representa o título principal do conteúdo.,
MC-020,multipla_escolha,HTML,básico,Qual tag cria uma quebra de linha? (variação 2),<br> | <hr> | <p> | <line>,<br>,0,A tag <br> cria quebra de linha.,
MC-021,multipla_escolha,HTML,intermediário,Qual tag representa o conteúdo principal de uma página? (variação 3),<main> | <footer> | <aside> | <nav>,<main>,0,A tag <main> indica o conteúdo principal do documento.,
MC-022,multipla_escolha,HTML,intermediário,Qual atributo cria um link em uma tag <a>? (variação 3),src | href | alt | title,href,1,O atributo href define o destino do link.,
MC-023,multipla_escolha,HTML,intermediário,Qual tag é usada para inserir uma imagem? (variação 3),<img> | <picture-text> | <image> | <src>,<img>,0,A tag <img> insere imagens em uma página HTML.,
MC-024,multipla_escolha,HTML,intermediário,Qual tag cria uma lista não ordenada? (variação 3),<ol> | <ul> | <li> | <dl>,<ul>,1,A tag <ul> cria uma lista sem ordem numérica.,
MC-025,multipla_escolha,HTML,intermediário,Qual tag cria um campo de formulário? (variação 3),<input> | <form-field> | <label> | <button>,<input>,0,"A tag <input> cria campos como texto, senha, checkbox etc.",
MC-026,multipla_escolha,HTML,intermediário,Para que serve o atributo alt em imagens? (variação 3),Definir largura | Descrever a imagem | Criar link | Mudar cor,Descrever a imagem,1,O alt melhora acessibilidade e aparece se a imagem não carregar.,
MC-027,multipla_escolha,HTML,intermediário,Qual elemento contém metadados da página? (variação 3),<head> | <body> | <main> | <section>,<head>,0,"O <head> contém título, links CSS e metadados.",
